variant,seed,popped_count,terminated,steps,simulation_time,target_switch_count,mean_target_dwell_time,last_target_index,runtime_sec,error
high_gain,64,0,True,1679,16.79,2,4.423333333333334,80,70.93466796097346,
high_gain,65,0,True,1413,14.13,2,3.536666666666667,31,74.51467123802286,
high_gain,66,0,True,1983,19.830000000000002,5,2.7183333333333337,24,78.84131236700341,
high_gain,67,0,True,1275,12.75,7,1.15375,6,64.65931607806124,
high_gain,68,0,True,1715,17.150000000000002,2,4.543333333333334,38,68.94580793497153,
high_gain,69,0,True,1656,16.56,1,6.5200000000000005,21,76.75716605095658,
high_gain,70,0,True,1094,10.94,7,0.9275,87,65.28868859703653,
high_gain,71,0,True,1318,13.18,2,3.22,85,67.7554936009692,
high_gain,72,0,True,1997,19.97,7,2.0562500000000004,93,81.45931993506383,
high_gain,73,0,True,1310,13.1,3,2.395,69,69.90816123201512,
high_gain,74,0,True,1347,13.47,4,1.9900000000000002,74,66.62464906694368,
high_gain,75,0,True,1163,11.63,1,4.055000000000001,82,65.82750305102672,
high_gain,76,0,True,1464,14.64,2,3.706666666666667,44,69.67666685103904,
high_gain,77,0,True,1066,10.66,3,1.7850000000000001,24,62.946679774904624,
high_gain,78,0,True,1729,17.29,8,1.5300000000000002,0,75.78689471201506,
high_gain,79,0,True,3633,36.33,9,3.281,11,115.33442520000972,
high_gain,80,0,True,1516,15.16,5,1.9400000000000002,2,80.00325106596574,
high_gain,81,0,True,1538,15.38,2,3.9533333333333336,70,65.78628470597323,
high_gain,82,0,True,1680,16.8,3,3.32,61,78.87882546696346,
high_gain,83,0,True,1573,15.73,3,3.0525,84,70.84589030698407,
high_gain,84,0,True,1270,12.700000000000001,2,3.06,18,65.66212078300305,
high_gain,85,0,True,1694,16.94,2,4.473333333333334,14,72.4861554428935,
high_gain,86,0,True,1066,10.66,2,2.3800000000000003,97,63.15421086701099,
high_gain,87,0,True,1052,10.52,2,2.3333333333333335,5,62.827451328979805,
high_gain,88,0,True,1347,13.47,4,1.9900000000000002,60,64.76996689406224,
high_gain,89,0,True,1976,19.76,4,3.248,87,87.10148615099024,
high_gain,90,0,True,1198,11.98,3,2.115,65,60.19741710298695,
high_gain,91,0,True,1542,15.42,2,3.966666666666667,70,72.93296336801723,
high_gain,92,0,True,1236,12.36,3,2.21,55,65.9393187839305,
high_gain,93,0,True,1177,11.77,2,2.75,63,70.15588378196117,
high_gain,94,0,True,1030,10.3,1,3.3900000000000006,57,57.967002689954825,
high_gain,95,0,True,1931,19.31,9,1.5790000000000002,39,86.7055517800618,
high_gain,96,0,True,1050,10.5,1,3.49,53,67.61096707102843,
high_gain,97,0,True,1404,14.040000000000001,3,2.6300000000000003,9,66.01145984500181,
high_gain,98,0,True,1021,10.21,5,1.1150000000000002,13,63.583736571948975,
high_gain,99,0,True,1464,14.64,2,3.706666666666667,65,67.10390127194114,
low_gain,0,0,True,1444,14.44,3,2.73,5,73.34824059391394,
low_gain,1,0,True,1553,15.530000000000001,3,3.0025,48,68.9142028799979,
low_gain,2,1,True,1168,11.68,3,2.04,48,65.21247426897753,
low_gain,3,0,True,1095,10.950000000000001,3,1.8574999999999997,16,62.52179968706332,
low_gain,4,0,True,1372,13.72,1,5.1000000000000005,26,65.46143978904001,
low_gain,5,0,True,1098,10.98,1,3.7300000000000004,35,62.64912118797656,
low_gain,6,0,True,1072,10.72,1,3.6000000000000005,41,69.77765137201641,
low_gain,7,0,True,979,9.790000000000001,1,3.135,77,65.16194099700078,
low_gain,8,0,True,1225,12.25,3,2.1825,79,59.6984302920755,
low_gain,9,0,True,1153,11.53,4,1.6019999999999999,87,61.33223615400493,
low_gain,10,0,True,1124,11.24,2,2.5733333333333337,55,67.99903019401245,
low_gain,11,0,True,1735,17.35,5,2.3049999999999997,27,76.6719138729386,
low_gain,12,0,True,976,9.76,4,1.248,88,61.02782987093087,
low_gain,13,0,True,1442,14.42,5,1.8166666666666667,86,63.952247732901014,
